"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2023 00:00 - 01/01/2023 01:00","BZN|BG","3892.06","3973.00"
"01/01/2023 01:00 - 01/01/2023 02:00","BZN|BG","3715.14","3792.00"
"01/01/2023 02:00 - 01/01/2023 03:00","BZN|BG","3563.29","3646.00"
"01/01/2023 03:00 - 01/01/2023 04:00","BZN|BG","3477.78","3559.00"
"01/01/2023 04:00 - 01/01/2023 05:00","BZN|BG","3432.44","3504.00"
"01/01/2023 05:00 - 01/01/2023 06:00","BZN|BG","3443.06","3500.00"
"01/01/2023 06:00 - 01/01/2023 07:00","BZN|BG","3514.57","3546.00"
"01/01/2023 07:00 - 01/01/2023 08:00","BZN|BG","3646.95","3733.00"
"01/01/2023 08:00 - 01/01/2023 09:00","BZN|BG","3674.68","3998.00"
"01/01/2023 09:00 - 01/01/2023 10:00","BZN|BG","3618.76","4177.00"
"01/01/2023 10:00 - 01/01/2023 11:00","BZN|BG","3502.04","4208.00"
"01/01/2023 11:00 - 01/01/2023 12:00","BZN|BG","3381.52","4190.00"
"01/01/2023 12:00 - 01/01/2023 13:00","BZN|BG","3257.35","4078.00"
"01/01/2023 13:00 - 01/01/2023 14:00","BZN|BG","3269.17","4020.00"
"01/01/2023 14:00 - 01/01/2023 15:00","BZN|BG","3448.29","4037.00"
"01/01/2023 15:00 - 01/01/2023 16:00","BZN|BG","3809.13","4183.00"
"01/01/2023 16:00 - 01/01/2023 17:00","BZN|BG","4296.73","4571.00"
"01/01/2023 17:00 - 01/01/2023 18:00","BZN|BG","4609.15","4700.00"
"01/01/2023 18:00 - 01/01/2023 19:00","BZN|BG","4591.08","4651.00"
"01/01/2023 19:00 - 01/01/2023 20:00","BZN|BG","4491.78","4502.00"
"01/01/2023 20:00 - 01/01/2023 21:00","BZN|BG","4372.63","4330.00"
"01/01/2023 21:00 - 01/01/2023 22:00","BZN|BG","4305.06","4236.00"
"01/01/2023 22:00 - 01/01/2023 23:00","BZN|BG","4108.65","4035.00"
"01/01/2023 23:00 - 02/01/2023 00:00","BZN|BG","3864.54","3825.00"
"02/01/2023 00:00 - 02/01/2023 01:00","BZN|BG","3674.37","3611.00"
"02/01/2023 01:00 - 02/01/2023 02:00","BZN|BG","3571.70","3476.00"
"02/01/2023 02:00 - 02/01/2023 03:00","BZN|BG","3529.88","3413.00"
"02/01/2023 03:00 - 02/01/2023 04:00","BZN|BG","3530.47","3400.00"
"02/01/2023 04:00 - 02/01/2023 05:00","BZN|BG","3610.40","3412.00"
"02/01/2023 05:00 - 02/01/2023 06:00","BZN|BG","3747.40","3522.00"
"02/01/2023 06:00 - 02/01/2023 07:00","BZN|BG","3983.00","3726.00"
"02/01/2023 07:00 - 02/01/2023 08:00","BZN|BG","4376.19","4098.00"
"02/01/2023 08:00 - 02/01/2023 09:00","BZN|BG","4627.03","4314.00"
"02/01/2023 09:00 - 02/01/2023 10:00","BZN|BG","4621.34","4447.00"
"02/01/2023 10:00 - 02/01/2023 11:00","BZN|BG","4490.15","4406.00"
"02/01/2023 11:00 - 02/01/2023 12:00","BZN|BG","4356.00","4356.00"
"02/01/2023 12:00 - 02/01/2023 13:00","BZN|BG","4185.35","4228.00"
"02/01/2023 13:00 - 02/01/2023 14:00","BZN|BG","4091.83","4133.00"
"02/01/2023 14:00 - 02/01/2023 15:00","BZN|BG","4154.98","4153.00"
"02/01/2023 15:00 - 02/01/2023 16:00","BZN|BG","4462.67","4407.00"
"02/01/2023 16:00 - 02/01/2023 17:00","BZN|BG","5018.50","4929.00"
"02/01/2023 17:00 - 02/01/2023 18:00","BZN|BG","5298.67","5150.00"
"02/01/2023 18:00 - 02/01/2023 19:00","BZN|BG","5249.14","5051.00"
"02/01/2023 19:00 - 02/01/2023 20:00","BZN|BG","5094.55","4883.00"
"02/01/2023 20:00 - 02/01/2023 21:00","BZN|BG","4898.70","4682.00"
"02/01/2023 21:00 - 02/01/2023 22:00","BZN|BG","4705.78","4544.00"
"02/01/2023 22:00 - 02/01/2023 23:00","BZN|BG","4359.78","4311.00"
"02/01/2023 23:00 - 03/01/2023 00:00","BZN|BG","4029.69","4195.00"
"03/01/2023 00:00 - 03/01/2023 01:00","BZN|BG","3817.21","3885.00"
"03/01/2023 01:00 - 03/01/2023 02:00","BZN|BG","3710.04","3731.00"
"03/01/2023 02:00 - 03/01/2023 03:00","BZN|BG","3674.32","3663.00"
"03/01/2023 03:00 - 03/01/2023 04:00","BZN|BG","3736.66","3669.00"
"03/01/2023 04:00 - 03/01/2023 05:00","BZN|BG","3914.35","3700.00"
"03/01/2023 05:00 - 03/01/2023 06:00","BZN|BG","4392.19","3785.00"
"03/01/2023 06:00 - 03/01/2023 07:00","BZN|BG","4925.75","3904.00"
"03/01/2023 07:00 - 03/01/2023 08:00","BZN|BG","5371.21","4039.00"
"03/01/2023 08:00 - 03/01/2023 09:00","BZN|BG","5504.30","4085.00"
"03/01/2023 09:00 - 03/01/2023 10:00","BZN|BG","5315.28","4004.00"
"03/01/2023 10:00 - 03/01/2023 11:00","BZN|BG","5141.36","3911.00"
"03/01/2023 11:00 - 03/01/2023 12:00","BZN|BG","4910.83","3831.00"
"03/01/2023 12:00 - 03/01/2023 13:00","BZN|BG","4794.12","3796.00"
"03/01/2023 13:00 - 03/01/2023 14:00","BZN|BG","4729.91","3788.00"
"03/01/2023 14:00 - 03/01/2023 15:00","BZN|BG","4774.50","3903.00"
"03/01/2023 15:00 - 03/01/2023 16:00","BZN|BG","4951.28","4124.00"
"03/01/2023 16:00 - 03/01/2023 17:00","BZN|BG","5322.30","4510.00"
"03/01/2023 17:00 - 03/01/2023 18:00","BZN|BG","5611.04","4643.00"
"03/01/2023 18:00 - 03/01/2023 19:00","BZN|BG","5594.46","4593.00"
"03/01/2023 19:00 - 03/01/2023 20:00","BZN|BG","5406.10","4483.00"
