timestamp,load_kwh
2024-10-28 14:00:00,34.675
2024-09-07 12:00:00,29.256
2024-10-16 21:00:00,33.395
2024-10-06 08:00:00,31.207
2024-09-07 14:00:00,27.683
2024-02-14 08:00:00,35.672
2024-04-03 21:00:00,33.669
2024-06-20 20:00:00,33.35
2024-08-26 06:00:00,29.965
2024-04-10 14:00:00,32.335
2024-08-21 12:00:00,30.157
2024-10-06 18:00:00,30.07
2024-05-15 18:00:00,35.263
2024-04-29 09:00:00,29.91
2024-02-18 13:00:00,28.391
2024-08-14 01:00:00,33.714
2024-08-08 01:00:00,32.004
2024-01-19 12:00:00,36.956
2024-03-18 09:00:00,32.196
2024-12-31 12:00:00,37.166
2024-01-16 12:00:00,35.866
2024-06-17 20:00:00,33.487
2024-12-24 06:00:00,38.52
2024-08-15 03:00:00,32.202
2024-06-08 13:00:00,26.986
2024-04-01 18:00:00,33.09
2024-11-23 05:00:00,34.978
2024-04-11 10:00:00,31.48
2024-12-26 19:00:00,36.409
2024-09-14 06:00:00,29.403
2024-12-06 09:00:00,37.168
2024-02-27 12:00:00,32.676
2024-07-30 06:00:00,30.261
2024-03-29 08:00:00,33.149
2024-06-04 21:00:00,33.617
2024-03-26 12:00:00,31.171
2024-12-30 16:00:00,36.211
2024-06-30 08:00:00,27.828
2024-07-21 11:00:00,27.829
2024-09-10 11:00:00,31.237
2024-07-22 23:00:00,32.585
2024-12-18 18:00:00,36.561
2024-06-03 16:00:00,32.449
2024-04-26 21:00:00,34.064
2024-07-24 06:00:00,30.09
2024-06-22 13:00:00,29.091
2024-03-22 07:00:00,32.387
2024-08-05 18:00:00,33.484
2024-07-01 21:00:00,34.676
2024-02-07 13:00:00,33.179
2024-01-11 14:00:00,37.581
2024-06-08 17:00:00,29.553
2024-08-28 01:00:00,31.474
2024-10-19 08:00:00,30.357
2024-07-16 20:00:00,31.842
2024-05-17 01:00:00,31.951
2024-01-17 02:00:00,37.623
2024-12-13 18:00:00,35.841
2024-09-22 12:00:00,30.037
2024-12-26 20:00:00,35.175
2024-10-11 01:00:00,32.741
2024-10-23 09:00:00,33.999
2024-12-27 00:00:00,37.791
2024-04-08 12:00:00,30.391
2024-03-12 10:00:00,32.361
2024-06-14 14:00:00,31.528
2024-02-25 01:00:00,30.359
2024-08-02 21:00:00,33.469
2024-03-23 18:00:00,29.925
2024-09-23 13:00:00,31.295
2024-09-07 05:00:00,28.773
2024-12-01 18:00:00,31.076
2024-01-10 13:00:00,36.391
2024-03-12 14:00:00,31.068
2024-04-13 19:00:00,30.479
2024-04-28 12:00:00,28.056
2024-06-19 00:00:00,32.996
2024-07-25 18:00:00,31.635
2024-01-29 23:00:00,35.995
2024-04-20 01:00:00,31.173
2024-08-18 01:00:00,31.757
2024-09-18 02:00:00,32.601
2024-06-16 21:00:00,31.697
2024-02-28 00:00:00,32.66
2024-05-28 18:00:00,32.276
2024-01-29 19:00:00,35.416
2024-08-13 15:00:00,30.203
2024-02-03 14:00:00,31.457
2024-02-17 04:00:00,30.536
