timestamp,temperature,humidity,wind_speed
2024-04-18 00:00:00,19.668,53.786,3.74
2024-01-12 09:00:00,-2.897,86.082,1.8
2024-01-26 22:00:00,9.235,65.3,4.206
2024-04-16 14:00:00,17.969,56.356,7.096
2024-07-29 10:00:00,19.147,55.474,
2024-12-01 04:00:00,0.272,88.23,1.861
2024-07-19 13:00:00,19.978,56.928,3.48
2024-05-20 11:00:00,17.43,53.844,4.643
2024-09-21 19:00:00,14.924,63.102,3.981
2024-12-23 07:00:00,-3.101,83.464,2.923
2024-04-23 19:00:00,25.526,55.118,2.325
2024-04-06 20:00:00,19.452,51.902,1.2
2024-03-01 05:00:00,4.144,72.199,2.557
2024-10-03 04:00:00,5.972,70.97,1.905
2024-03-24 08:00:00,7.61,78.289,4.43
2024-02-28 17:00:00,10.133,64.577,3.618
2024-09-22 19:00:00,15.271,66.544,4.337
2024-08-07 01:00:00,19.722,50.561,2.991
2024-10-28 02:00:00,,80.493,3.633
2024-12-24 15:00:00,4.238,82.389,1.414
2024-09-22 20:00:00,18.982,60.105,5.055
2024-09-22 14:00:00,10.968,61.671,4.606
2024-06-14 20:00:00,30.404,42.795,4.954
2024-03-20 23:00:00,13.979,64.432,3.033
2024-12-14 09:00:00,-3.361,89.092,3.478
2024-12-07 13:00:00,2.949,82.736,4.11
2024-07-10 06:00:00,18.674,57.776,2.297
2024-06-08 15:00:00,23.86,50.166,3.494
2024-04-04 08:00:00,12.289,68.423,2.912
2024-12-08 04:00:00,-3.212,87.957,3.752
2024-01-28 13:00:00,0.617,71.817,4.461
2024-08-05 16:00:00,27.604,47.363,1.249
2024-02-04 06:00:00,4.28,71.212,1.627
2024-07-29 09:00:00,17.099,65.213,1.684
2024-12-17 11:00:00,-2.552,81.14,2.237
2024-11-15 05:00:00,-0.604,76.305,1.507
2024-07-21 13:00:00,19.73,52.36,4.117
2024-02-02 06:00:00,0.971,80.484,2.672
2024-10-30 05:00:00,1.189,86.144,4.276
2024-09-21 01:00:00,11.718,64.161,4.477
2024-09-17 14:00:00,11.614,60.087,2.547
2024-03-01 13:00:00,11.793,71.15,3.6
2024-05-09 04:00:00,17.827,,1.898
2024-03-19 05:00:00,8.588,71.896,3.074
2024-08-05 15:00:00,19.683,47.202,1.811
2024-01-20 04:00:00,3.231,80.683,2.814
2024-10-12 11:00:00,3.09,79.457,5.083
2024-02-24 18:00:00,10.476,62.729,1.168
2024-05-11 06:00:00,19.415,58.72,2.563
2024-01-11 00:00:00,1.443,75.102,2.545
2024-04-27 19:00:00,23.054,58.555,3.083
2024-02-08 04:00:00,3.311,77.745,3.236
2024-07-31 04:00:00,16.526,48.455,1.867
2024-02-27 12:00:00,6.784,64.639,1.576
2024-11-29 00:00:00,5.637,77.146,0.969
2024-07-21 06:00:00,20.915,65.825,5.625
2024-03-29 17:00:00,17.973,59.229,2.839
2024-05-17 10:00:00,16.547,56.09,2.392
2024-07-11 20:00:00,29.142,45.308,2.92
2024-08-06 04:00:00,15.653,57.512,4.301
2024-07-02 18:00:00,25.973,39.418,4.171
2024-01-25 08:00:00,-1.411,89.074,3.847
2024-06-25 12:00:00,24.524,53.437,1.158
2024-02-05 02:00:00,1.734,76.046,2.447
2024-05-05 15:00:00,23.444,46.29,3.685
